phase,latency_ms,ecdf
detect,1613.716,0.125
detect,1855.021,0.25
detect,1892.551,0.375
detect,1901.772,0.5
detect,1913.174,0.625
detect,1978.099,0.75
detect,2030.137,0.875
detect,2053.047,1.0
localize,2673.283,0.125
localize,2860.703,0.25
localize,2878.422,0.375
localize,2883.204,0.5
localize,2891.672,0.625
localize,2922.332,0.75
localize,2942.24,0.875
localize,2958.413,1.0
repair,1005.519,0.125
repair,1050.699,0.25
repair,1152.68,0.375
repair,1292.745,0.5
repair,1300.199,0.625
repair,1322.01,0.75
repair,1465.265,0.875
repair,1572.531,1.0
total,5502.439,0.125
total,5718.514,0.25
total,5864.133,0.375
total,6146.114,0.5
total,6201.304,0.625
total,6213.949,0.75
total,6335.036,0.875
total,6427.945,1.0
